Card Name,Rating - Draftmancer,Rating - AF,Set,Source,Notes,,LowInkValue,RegularInkValue,,PowerBand Options,max Power Band
Pongo - Ol' Rascal,3,B,1,Frank Karsten,,,4,3,,,
Mulan - Imperial Soldier,3,B,1,Frank Karsten,,,4,3,,,
Goofy - Musketeer,3,B,1,Frank Karsten,,,4,3,,,
Cerberus - Three-Headed Dog,3,B,1,Frank Karsten,,,4,3,,,
Robin Hood - Unrivaled Archer,3,B,1,Frank Karsten,,,4,3,,,
Mother Gothel - Selfish Manipulator,3,B,1,Frank Karsten,,,4,3,,,
Mickey Mouse - Detective,3,B,1,Frank Karsten,,,2,3,,,
Chief Tui - Respected Leader,3,B,1,Frank Karsten,,,4,3,,,
Hercules - True Hero,3,B,1,Frank Karsten,,,4,3,,,
Maleficent - Sorceress,3,B,1,Frank Karsten,,,4,3,,,
Mickey Mouse - Brave Little Tailor,3,B,1,Frank Karsten,,,4,3,,,
Beast - Wolfsbane,3,B,1,Frank Karsten,,,2,3,,,
Smash,3,B,1,Frank Karsten,,,4,3,,,
Captain - Colonel's Lieutenant,3,B,1,Frank Karsten,,,4,3,,,
Kronk - Right-Hand Man,3,B,1,Frank Karsten,,,4,3,,,
Sven - Official Ice Deliverer,3,B,1,Frank Karsten,,,4,3,,,
The Wardrobe - Belle's Confidant,3,B,1,Frank Karsten,,,4,3,,,
Mickey Mouse - Steamboat Pilot,3,B,1,Frank Karsten,,,4,3,,,
Rafiki - Mysterious Sage,3,B,1,Frank Karsten,,,2,3,,,
Philoctetes - Trainer of Heroes,3,B,1,Frank Karsten,,,4,3,,,
Jumba Jookiba - Renegade Scientist,3,B,1,Frank Karsten,,,4,3,,,
Captain Hook - Forceful Duelist,3,B,1,Frank Karsten,,,4,3,,,
Tinker Bell - Peter Pan's Ally,3,B,1,Frank Karsten,,,2,3,,,
Aurora - Briar Rose,3,B,1,Frank Karsten,,,4,3,,,
One Jump Ahead,2,B-,1,Frank Karsten,,,1,2,,,
Jasper - Common Crook,2,B-,1,Frank Karsten,,,3,2,,,
Triton - The Sea King,2,B-,1,Frank Karsten,,,3,2,,,
Gramma Tala - Storyteller,2,B-,1,Frank Karsten,,,3,2,,,
Fire The Cannons!,2,B-,1,Frank Karsten,,,1,2,,,
Maleficent - Monstrous Dragon,2,B-,1,Frank Karsten,,,3,2,,,
Beast - Hardheaded,2,B-,1,Frank Karsten,,,3,2,,,
Pascal - Rapunzel's Companion,2,B-,1,Frank Karsten,,,3,2,,,
Lantern,2,B-,1,Frank Karsten,,,1,2,,,
Beast's Mirror,2,B-,1,Frank Karsten,,,3,2,,,
Aurora - Dreaming Guardian,2,B-,1,Frank Karsten,,,3,2,,,
Hans - Scheming Prince,2,B-,1,Frank Karsten,,,3,2,,,
Tinker Bell - Tiny Tactician,2,B-,1,Frank Karsten,,,3,2,,,
Ursula - Power Hungry,2,B-,1,Frank Karsten,,,1,2,,,
Peter Pan - Never Landing,2,B-,1,Frank Karsten,,,3,2,,,
Jetsam - Ursula's Spy,2,B-,1,Frank Karsten,,,3,2,,,
Merlin - Self-Appointed Mentor,2,B-,1,Frank Karsten,,,3,2,,,
Lefou - Instigator,2,B-,1,Frank Karsten,,,3,2,,,
Stitch - New Dog,2,B-,1,Frank Karsten,,,3,2,,,
Belle - Strange but Special,2,B-,1,Frank Karsten,,,3,2,,,
Archimedes - Highly Educated Owl,1,C+,1,Frank Karsten,,,2,1,,,
Flounder - Voice of Reason,1,C+,1,Frank Karsten,,,2,1,,,
Goons - Maleficent's Underlings,1,C+,1,Frank Karsten,,,2,1,,,
Sergeant Tibbs - Courageous Cat,1,C+,1,Frank Karsten,,,2,1,,,
Duke of Weselton - Opportunistic Official,1,C+,1,Frank Karsten,,,2,1,,,
Prince Eric - Dashing and Brave,1,C+,1,Frank Karsten,,,2,1,,,
Donald Duck - Musketeer,1,C+,1,Frank Karsten,,,2,1,,,
Heihei - Boat Snack,1,C+,1,Frank Karsten,,,2,1,,,
You Have Forgotten Me,1,C+,1,Frank Karsten,,,2,1,,,
Elsa - Queen Regent,1,C+,1,Frank Karsten,,,2,1,,,
Genie - The Ever Impressive,1,C+,1,Frank Karsten,,,2,1,,,
Donald Duck - Boisterous Fowl,1,C+,1,Frank Karsten,,,2,1,,,
Minnie Mouse - Beloved Princess,1,C+,1,Frank Karsten,,,2,1,,,
Jasmine - Disguised,1,C+,1,Frank Karsten,,,2,1,,,
Mickey Mouse - True Friend,1,C+,1,Frank Karsten,,,2,1,,,
Kristoff - Official Ice Master,1,C+,1,Frank Karsten,,,2,1,,,
Jafar - Wicked Sorcerer,1,C+,1,Frank Karsten,,,2,1,,,
Be Our Guest,1,C+,1,Frank Karsten,,,2,1,,,
Cruella de Vil - Miserable as Usual,1,C+,1,Frank Karsten,,,2,1,,,
Simba - Rightful Heir,1,C+,1,Frank Karsten,,,1,1,,,
Jafar - Keeper of Secrets,1,C+,1,Frank Karsten,,,2,1,,,
Mickey Mouse - Musketeer,1,C+,1,Frank Karsten,,,2,1,,,
Cheshire Cat - Not All There,1,C+,1,Frank Karsten,,,2,1,,,
Zeus - God of Lightning,1,C+,1,Frank Karsten,,,1,1,,,
Aurora - Regal Princess,1,C,1,Frank Karsten,,,1,1,,,
Te Ka - The Burning One,1,C,1,Frank Karsten,,,1,1,,,
Mickey Mouse - Wayward Sorcerer,1,C,1,Frank Karsten,,,1,1,,,
Mother Knows Best,1,C,1,Frank Karsten,,,1,1,,,
Magic Mirror,1,C,1,Frank Karsten,,,1,1,,,
Cinderella - Gentle and Kind,1,C,1,Frank Karsten,,,1,1,,,
Maleficent - Sinister Visitor,1,C,1,Frank Karsten,,,1,1,,,
Gaston - Arrogant Hunter,1,C,1,Frank Karsten,,,1,1,,,
Captain Hook - Captain of the Jolly Roger,1,C,1,Frank Karsten,,,1,1,,,
Simba - Future King,1,C,1,Frank Karsten,,,1,1,,,
Yzma - Alchemist,1,C,1,Frank Karsten,,,1,1,,,
Simba - Returned King,1,C,1,Frank Karsten,,,1,1,,,
Megara - Pulling the Strings,1,C,1,Frank Karsten,,,1,1,,,
Maurice - World-Famous Inventor,1,C,1,Frank Karsten,,,1,1,,,
Maui - Demigod,1,C,1,Frank Karsten,,,1,1,,,
Ariel - Spectacular Singer,1,C,1,Frank Karsten,,,1,1,,,
Rapunzel - Letting Down Her Hair,1,C,1,Frank Karsten,,,1,1,,,
Scepter of Arendelle,1,C,1,Frank Karsten,,,1,1,,,
Develop Your Brain,1,C,1,Frank Karsten,,,1,1,,,
Horace - No-Good Scoundrel,1,C,1,Frank Karsten,,,1,1,,,
Peter Pan - Fearless Fighter,1,C,1,Frank Karsten,,,1,1,,,
Prince Phillip - Dragonslayer,1,C,1,Frank Karsten,,,1,1,,,
Pumbaa - Friendly Warthog,1,C,1,Frank Karsten,,,1,1,,,
Mr. Smee - Loyal First Mate,1,C,1,Frank Karsten,,,1,1,,,
Scar - Fiery Usurper,1,C,1,Frank Karsten,,,1,1,,,
Dr. Facilier - Remarkable Gentleman,1,C,1,Frank Karsten,,,1,1,,,
Starkey - Hook's Henchman,1,C,1,Frank Karsten,,,1,1,,,
Mickey Mouse - Artful Rogue,1,C,1,Frank Karsten,,,1,1,,,
Flotsam - Ursula's Spy,1,C,1,Frank Karsten,,,1,1,,,
Ariel - On Human Legs,1,C,1,Frank Karsten,,,1,1,,,
Lilo - Making a Wish,1,C,1,Frank Karsten,,,1,1,,,
Maleficent - Biding Her Time,1,C,1,Frank Karsten,,,1,1,,,
Captain Hook - Thinking a Happy Thought,1,C-,1,Frank Karsten,,,0,1,,,
Moana - Of Motunui,1,C-,1,Frank Karsten,,,1,1,,,
Genie - Powers Unleashed,1,C-,1,Frank Karsten,,,0,1,,,
Aladdin - Cornered Swordsman,1,C-,1,Frank Karsten,,,1,1,,,
Magic Broom - Bucket Brigade,1,C-,1,Frank Karsten,,,1,1,,,
Lilo - Galactic Hero,1,C-,1,Frank Karsten,,,1,1,,,
Tamatoa - So Shiny!,1,C-,1,Frank Karsten,,,1,1,,,
Captain Hook - Ruthless Pirate,1,C-,1,Frank Karsten,,,0,1,,,
Minnie Mouse - Always Classy,1,C-,1,Frank Karsten,,,1,1,,,
Olaf - Friendly Snowman,1,C-,1,Frank Karsten,,,1,1,,,
Ursula's Cauldron,1,C-,1,Frank Karsten,,,0,1,,,
Fan the Flames,1,C-,1,Frank Karsten,,,1,1,,,
Coconut Basket,1,C-,1,Frank Karsten,,,1,1,,,
Stolen Scimitar,1,C-,1,Frank Karsten,,,1,1,,,
Dr. Facilier - Charlatan,1,C-,1,Frank Karsten,,,1,1,,,
Belle - Inventive Engineer,1,C-,1,Frank Karsten,,,1,1,,,
Iago - Loud-Mouthed Parrot,1,C-,1,Frank Karsten,,,1,1,,,
Eye of the Fates,1,C-,1,Frank Karsten,,,1,1,,,
Vicious Betrayal,1,C-,1,Frank Karsten,,,1,1,,,
Anna - Heir to Arendelle,1,C-,1,Frank Karsten,,,1,1,,,
Donald Duck - Strutting His Stuff,1,C-,1,Frank Karsten,,,1,1,,,
Abu - Mischievous Monkey,1,C-,1,Frank Karsten,,,1,1,,,
Aladdin - Street Rat,1,C-,1,Frank Karsten,,,1,1,,,
Lefou - Bumbler,1,C-,1,Frank Karsten,,,1,1,,,
Control Your Temper!,1,C-,1,Frank Karsten,,,1,1,,,
Elsa - Ice Surfer,1,C-,1,Frank Karsten,,,1,1,,,
Moana - Chosen by the Ocean,1,C-,1,Frank Karsten,,,1,1,,,
Timon - Grub Rustler,1,C-,1,Frank Karsten,,,1,1,,,
Tamatoa - Drab Little Crab,1,C-,1,Frank Karsten,,,1,1,,,
Fishbone Quill,1,C-,1,Frank Karsten,,,1,1,,,
White Rabbit's Pocket Watch,1,C-,1,Frank Karsten,,,1,1,,,
A Whole New World,1,C-,1,Frank Karsten,,,0,1,,,
Aladdin - Prince Ali,0,D,1,Frank Karsten,,,0,0,,,
Shield of Virtue,0,D,1,Frank Karsten,,,0,0,,,
Part of Your World,0,D,1,Frank Karsten,,,0,0,,,
Poisoned Apple,0,D,1,Frank Karsten,,,0,0,,,
Hakuna Matata,0,D,1,Frank Karsten,,,0,0,,,
Dinglehopper,0,D,1,Frank Karsten,,,0,0,,,
Sebastian - Court Composer,0,D,1,Frank Karsten,,,0,0,,,
Lady Tremaine - Wicked Stepmother,0,D,1,Frank Karsten,,,0,0,,,
Scar - Shameless Firebrand,0,D,1,Frank Karsten,,,0,0,,,
Gantu - Galactic Federation Captain,0,D,1,Frank Karsten,,,0,0,,,
Magic Golden Flower,0,D,1,Frank Karsten,,,0,0,,,
Plasma Blaster,0,D,1,Frank Karsten,,,0,0,,,
He's Got a Sword!,0,D,1,Frank Karsten,,,0,0,,,
Stampede,0,D,1,Frank Karsten,,,0,0,,,
Sudden Chill,0,D,1,Frank Karsten,,,0,0,,,
The Beast is Mine!,0,D,1,Frank Karsten,,,0,0,,,
Ariel - Whoseit Collector,0,D,1,Frank Karsten,,,0,0,,,
Healing Glow,0,D,1,Frank Karsten,,,0,0,,,
Hades - King of Olympus,0,D,1,Frank Karsten,,,0,0,,,
Work Together,0,D,1,Frank Karsten,,,0,0,,,
Freeze,0,F,1,Frank Karsten,,,0,0,,,
Sword of Truth,0,F,1,Frank Karsten,,,0,0,,,
Just in Time,0,F,1,Frank Karsten,,,0,0,,,
Cut to the Chase,0,F,1,Frank Karsten,,,0,0,,,
Break,0,F,1,Frank Karsten,,,0,0,,,
Frying Pan,0,F,1,Frank Karsten,,,0,0,,,
Befuddle,0,F,1,Frank Karsten,,,0,0,,,
Ransack,0,F,1,Frank Karsten,,,0,0,,,
Reflection,0,F,1,Frank Karsten,,,0,0,,,
Tangle,0,F,1,Frank Karsten,,,0,0,,,
Steal from the Rich,0,F,1,Frank Karsten,,,0,0,,,
Ursula's Shell Necklace,0,F,1,Frank Karsten,,,0,0,,,
Do It Again!,0,F,1,Frank Karsten,,,0,0,,,
Musketeer Tabard,0,F,1,Frank Karsten,,,0,0,,,
Dr. Facilier's Cards,0,F,1,Frank Karsten,,,0,0,,,
If it's not Baroque,0,F,1,Frank Karsten,,,0,0,,,
Fairy Godmother - Mystic Armorer,5,A,2,Frank Karsten,,,5,5,,,
Cogsworth - Grandfather Clock,5,A,2,Frank Karsten,,,5,5,,,
Beast - Tragic Hero,5,A,2,Frank Karsten,,,5,5,,,
Beast - Relentless,5,A,2,Frank Karsten,,,5,5,,,
The Queen - Commanding Presence,5,A,2,Frank Karsten,,,5,5,,,
Kronk - Junior Chipmunk,5,A,2,Frank Karsten,,,5,5,,,
Yzma - Scary Beyond All Reason,5,A,2,Frank Karsten,,,5,5,,,
Snow White - Well Wisher,5,A,2,Frank Karsten,,,5,5,,,
Lady Tremaine - Imperious Queen,5,A,2,Frank Karsten,,,5,5,,,
Beast - Selfless Protector,5,A,2,Frank Karsten,,,5,5,,,
Queen of Hearts - Sensing Weakness,4,B+,2,Frank Karsten,,,5,4,,,
Gaston - Intellectual Powerhouse,4,B+,2,Frank Karsten,,,3,4,,,
Alice - Growing Girl,4,B+,2,Frank Karsten,,,5,4,,,
Sisu - Divine Water Dragon,4,B+,2,Frank Karsten,,,3,4,,,
Belle - Hidden Archer,4,B+,2,Frank Karsten,,,3,4,,,
Hercules - Divine Hero,4,B+,2,Frank Karsten,,,5,4,,,
Mufasa - Betrayed Leader,4,B+,2,Frank Karsten,,,5,4,,,
Merlin - Rabbit,4,B+,2,Frank Karsten,,,3,4,,,
Pacha - Village Leader,4,B+,2,Frank Karsten,,,5,4,,,
Little John - Loyal Friend,4,B+,2,Frank Karsten,,,5,4,,,
Jafar - Dreadnought,4,B+,2,Frank Karsten,,,5,4,,,
Strength of a Raging Fire,4,B+,2,Frank Karsten,,,5,4,,,
World's Greatest Criminal Mind,4,B+,2,Frank Karsten,,,5,4,,,
Let the Storm Rage On,4,B+,2,Frank Karsten,,,3,4,,,
Cinderella - Stouthearted,4,B+,2,Frank Karsten,,,5,4,,,
Merlin - Crab,4,B+,2,Frank Karsten,,,5,4,,,
Minnie Mouse - Stylish Surfer,4,B+,2,Frank Karsten,,,5,4,,,
Lucifer - Cunning Cat,4,B+,2,Frank Karsten,,,3,4,,,
Madam Mim - Fox,4,B+,2,Frank Karsten,,,5,4,,,
Shere Khan - Menacing Predator,4,B+,2,Frank Karsten,,,5,4,,,
Dr. Facilier - Fortune Teller,4,B+,2,Frank Karsten,,,5,4,,,
HeiHei - Persistent Presence,4,B+,2,Frank Karsten,,,5,4,,,
Peter Pan's Shadow - Not Sewn On,4,B+,2,Frank Karsten,,,3,4,,,
Ray - Easygoing Firefly,4,B+,2,Frank Karsten,,,5,4,,,
Scar - Vicious Cheater,3,B,2,Frank Karsten,,,2,3,,,
Namaari - Nemesis,3,B,2,Frank Karsten,,,2,3,,,
Rabbit - Reluctant Host,3,B,2,Frank Karsten,,,4,3,,,
Flynn Rider - His Own Biggest Fan,3,B,2,Frank Karsten,,,2,3,,,
Cobra Bubbles - Just a Social Worker,3,B,2,Frank Karsten,,,4,3,,,
Madam Mim - Purple Dragon,3,B,2,Frank Karsten,,,4,3,,,
Daisy Duck - Secret Agent,3,B,2,Frank Karsten,,,4,3,,,
Winnie The Pooh - Hunny Wizard,3,B,2,Frank Karsten,,,4,3,,,
Virana - Fang Chief,3,B,2,Frank Karsten,,,4,3,,,
Card Soldiers - Full Deck,3,B,2,Frank Karsten,,,4,3,,,
Happy - Good-Natured,3,B,2,Frank Karsten,,,4,3,,,
Fairy Godmother - Pure Heart,3,B,2,Frank Karsten,,,4,3,,,
Li Shang - Archery Instructor,3,B,2,Frank Karsten,,,4,3,,,
Fairy Godmother - Here to Help,3,B,2,Frank Karsten,,,4,3,,,
Yzma - Without Beauty Sleep,3,B,2,Frank Karsten,,,4,3,,,
Donald Duck - Not Again!,3,B,2,Frank Karsten,,,4,3,,,
Queen of Hearts - Capricious Monarch,3,B,2,Frank Karsten,,,4,3,,,
Donald Duck - Deep-Sea Diver,3,B,2,Frank Karsten,,,4,3,,,
Ratigan - Criminal Mastermind,3,B,2,Frank Karsten,,,4,3,,,
Sleepy - Nodding Off,3,B,2,Frank Karsten,,,4,3,,,
King Louie - Jungle VIP,3,B,2,Frank Karsten,,,4,3,,,
Madam Mim - Snake,3,B,2,Frank Karsten,,,4,3,,,
The Prince - Never Gives Up,3,B,2,Frank Karsten,,,4,3,,,
Hypnotize,3,B,2,Frank Karsten,,,4,3,,,
Mulan - Soldier in Training,2,B-,2,Frank Karsten,,,1,2,,,
Tuk Tuk - Wrecking Ball,2,B-,2,Frank Karsten,,,1,2,,,
Lumiere - Hotheaded Candelabra,2,B-,2,Frank Karsten,,,3,2,,,
Pawpsicle,2,B-,2,Frank Karsten,,,3,2,,,
Snow White - Lost in the Forest,2,B-,2,Frank Karsten,,,3,2,,,
Ring The Bell,2,B-,2,Frank Karsten,,,3,2,,,
Painting the Roses Red,2,B-,2,Frank Karsten,,,3,2,,,
Fidget - Ratigan's Henchman,2,B-,2,Frank Karsten,,,3,2,,,
Improvise,2,B-,2,Frank Karsten,,,3,2,,,
The Queen - Regal Monarch,2,B-,2,Frank Karsten,,,3,2,,,
Charge!,2,B-,2,Frank Karsten,,,3,2,,,
Chip the Teacup - Gentle Soul,2,B-,2,Frank Karsten,,,3,2,,,
Owl - Logical Lecturer,2,B-,2,Frank Karsten,,,3,2,,,
Cruella De Vil - Perfectly Wretched,2,B-,2,Frank Karsten,,,3,2,,,
Lawrence - Jealous Manservant,2,B-,2,Frank Karsten,,,3,2,,,
Grand Pabbie - Oldest and Wisest,2,B-,2,Frank Karsten,,,1,2,,,
Cheshire Cat - From the Shadows,2,B-,2,Frank Karsten,,,3,2,,,
Raya - Leader of Heart,2,B-,2,Frank Karsten,,,3,2,,,
Beast - Forbidding Recluse,1,C+,2,Frank Karsten,,,2,1,,,
Grumpy - Bad-Tempered,1,C+,2,Frank Karsten,,,2,1,,,
Felicia - Always Hungry,1,C+,2,Frank Karsten,,,2,1,,,
Elsa - Gloves Off,1,C+,2,Frank Karsten,,,2,1,,,
Cogsworth - Talking Clock,1,C+,2,Frank Karsten,,,2,1,,,
Donald Duck - Perfect Gentleman,1,C+,2,Frank Karsten,,,2,1,,,
Hercules - Hero in Training,1,C+,2,Frank Karsten,,,2,1,,,
Boun - Precocious Entrepreneur,1,C+,2,Frank Karsten,,,2,1,,,
Pinocchio - On the Run,1,C+,2,Frank Karsten,,,1,1,,,
Rapunzel - Sunshine,1,C+,2,Frank Karsten,,,2,1,,,
Basil - Great Mouse Detective,1,C+,2,Frank Karsten,,,2,1,,,
Cruella De Vil - Fashionable Cruiser,1,C+,2,Frank Karsten,,,2,1,,,
Christopher Robin - Adventurer,1,C+,2,Frank Karsten,,,2,1,,,
Jafar - Royal Vizier,1,C+,2,Frank Karsten,,,2,1,,,
Merlin - Goat,1,C+,2,Frank Karsten,,,2,1,,,
Bashful - Hopeless Romantic,1,C+,2,Frank Karsten,,,2,1,,,
Queen of Hearts - Impulsive Ruler,1,C+,2,Frank Karsten,,,2,1,,,
Magic Broom - Industrial Model,1,C+,2,Frank Karsten,,,2,1,,,
Piglet - Very Small Animal,1,C+,2,Frank Karsten,,,2,1,,,
Blue Fairy - Rewarding Good Deeds,1,C+,2,Frank Karsten,,,2,1,,,
Panic - Underworld Imp,1,C+,2,Frank Karsten,,,1,1,,,
Minnie Mouse - Wide-Eyed Diver,1,C+,2,Frank Karsten,,,2,1,,,
Grand Duke - Advisor to the King,1,C+,2,Frank Karsten,,,2,1,,,
Rapunzel - Gifted Artist,1,C+,2,Frank Karsten,,,2,1,,,
Namaari - Morning Mist,1,C+,2,Frank Karsten,,,1,1,,,
Tiana - True Princess,1,C+,2,Frank Karsten,,,2,1,,,
Mulan - Free Spirit,1,C+,2,Frank Karsten,,,2,1,,,
Ratigan - Very Large Mouse,1,C+,2,Frank Karsten,,,1,1,,,
Doc - Leader of the Seven Dwarfs,1,C+,2,Frank Karsten,,,2,1,,,
Prince Charming - Heir to the Throne,1,C+,2,Frank Karsten,,,2,1,,,
Dr. Facilier - Savvy Opportunist,1,C+,2,Frank Karsten,,,2,1,,,
Teeth and Ambitions,1,C+,2,Frank Karsten,,,2,1,,,
Sneezy - Very Allergic,1,C+,2,Frank Karsten,,,2,1,,,
Chief Bogo - Respected Officer,1,C,2,Frank Karsten,,,1,1,,,
Enchantress - Unexpected Judge,1,C,2,Frank Karsten,,,1,1,,,
Kuzco - Wanted Llama,1,C,2,Frank Karsten,,,1,1,,,
Basil - Of Baker Street,1,C,2,Frank Karsten,,,1,1,,,
James - Role Model,1,C,2,Frank Karsten,,,1,1,,,
Mother Gothel - Withered and Wicked,1,C,2,Frank Karsten,,,1,1,,,
Eudora - Accomplished Seamstress,1,C,2,Frank Karsten,,,1,1,,,
Baloo - Fun-Loving Bear,1,C,2,Frank Karsten,,,1,1,,,
Prince Naveen - Penniless Royal,1,C,2,Frank Karsten,,,1,1,,,
Cheshire Cat - Always Grinning,1,C,2,Frank Karsten,,,1,1,,,
Caterpillar - Calm and Collected,1,C,2,Frank Karsten,,,1,1,,,
Minnie Mouse - Zipping Around,1,C,2,Frank Karsten,,,1,1,,,
Tigger - One of a Kind,1,C,2,Frank Karsten,,,1,1,,,
Basil - Perceptive Investigator,1,C,2,Frank Karsten,,,1,1,,,
Nothing to Hide,1,C,2,Frank Karsten,,,1,1,,,
Winnie The Pooh - Having a Think,1,C,2,Frank Karsten,,,1,1,,,
Nick Wilde - Wily Fox,1,C,2,Frank Karsten,,,1,1,,,
Benja - Guardian of the Dragon Gem,1,C,2,Frank Karsten,,,1,1,,,
Gumbo Pot,1,C,2,Frank Karsten,,,1,1,,,
Arthur - Trained Swordsman,1,C,2,Frank Karsten,,,1,1,,,
Robin Hood - Capable Fighter,1,C,2,Frank Karsten,,,1,1,,,
Eli La Bouff - Big Daddy,1,C,2,Frank Karsten,,,1,1,,,
Four Dozen Eggs,1,C,2,Frank Karsten,,,1,1,,,
Cinderella - Knight in Training,1,C,2,Frank Karsten,,,1,1,,,
Raya - Warrior of Kumandra,1,C,2,Frank Karsten,,,1,1,,,
Mouse Armor,1,C,2,Frank Karsten,,,1,1,,,
Go the Distance,1,C,2,Frank Karsten,,,1,1,,,
Pete - Bad Guy,1,C,2,Frank Karsten,,,1,1,,,
Flynn Rider - Confident Vagabond,1,C,2,Frank Karsten,,,1,1,,,
Tiana - Diligent Waitress,1,C,2,Frank Karsten,,,1,1,,,
Pinocchio - Star Attraction,1,C-,2,Frank Karsten,,,0,1,,,
Hiram Flaversham - Toymaker,1,C-,2,Frank Karsten,,,1,1,,,
Madam Mim - Rival of Merlin,1,C-,2,Frank Karsten,,,1,1,,,
Mickey Mouse - Friendly Face,1,C-,2,Frank Karsten,,,1,1,,,
Goofy - Knight for a Day,1,C-,2,Frank Karsten,,,1,1,,,
Legend of the Sword in the Stone,1,C-,2,Frank Karsten,,,1,1,,,
Last Cannon,1,C-,2,Frank Karsten,,,1,1,,,
Bounce,1,C-,2,Frank Karsten,,,0,1,,,
Last Stand,1,C-,2,Frank Karsten,,,0,1,,,
Judy Hopps - Optimistic Officer,1,C-,2,Frank Karsten,,,1,1,,,
Arthur - Wizard's Apprentice,1,C-,2,Frank Karsten,,,0,1,,,
Dinner Bell,1,C-,2,Frank Karsten,,,0,1,,,
The Huntsman - Reluctant Enforcer,1,C-,2,Frank Karsten,,,1,1,,,
Gaston - Baritone Bully,1,C-,2,Frank Karsten,,,1,1,,,
Merlin - Squirrel,1,C-,2,Frank Karsten,,,1,1,,,
Nana - Darling Family Pet,1,C-,2,Frank Karsten,,,1,1,,,
Bucky - Squirrel Squeak Tutor,1,C-,2,Frank Karsten,,,1,1,,,
Tiana - Celebrating Princess,1,C-,2,Frank Karsten,,,0,1,,,
Noi - Orphaned Thief,1,C-,2,Frank Karsten,,,1,1,,,
Hold Still,1,C-,2,Frank Karsten,,,1,1,,,
Jiminy Cricket - Pinocchio's Conscience,1,C-,2,Frank Karsten,,,1,1,,,
Belle - Bookworm,1,C-,2,Frank Karsten,,,0,1,,,
Pain - Underworld Imp,1,C-,2,Frank Karsten,,,1,1,,,
Dopey - Always Playful,1,C-,2,Frank Karsten,,,1,1,,,
Jasmine - Heir of Agrabah,1,C-,2,Frank Karsten,,,1,1,,,
Weight Set,1,C-,2,Frank Karsten,,,1,1,,,
Mulan - Reflecting,1,C-,2,Frank Karsten,,,1,1,,,
Pack Tactics,1,C-,2,Frank Karsten,,,1,1,,,
Duke Weaselton - Small-Time Crook,1,C-,2,Frank Karsten,,,1,1,,,
Gaston - Scheming Suitor,1,C-,2,Frank Karsten,,,1,1,,,
The Nokk - Water Spirit,0,D,2,Frank Karsten,,,0,0,,,
Raya - Headstrong,0,D,2,Frank Karsten,,,0,0,,,
Donald Duck - Sleepwalker,0,D,2,Frank Karsten,,,0,0,,,
I'm Stuck!,0,D,2,Frank Karsten,,,0,0,,,
